Cycle	Avg	Stdev
1	30.456	5.542	
2	31.992	3.536	
3	32.096	3.782	
4	32.452	3.156	
5	32.296	3.616	
6	35.344	3.582	
7	35.464	3.471	
8	35.244	3.906	
9	35.356	3.619	
10	35.608	3.489	
11	35.304	3.665	
12	35.348	3.827	
13	37.208	3.045	
14	36.992	3.676	
15	36.908	3.978	
16	36.984	3.918	
17	37.16	3.12	
18	36.816	4.139	
19	36.832	4.427	
20	37.012	3.744	
21	37.308	2.496	
22	37.464	2.16	
23	37.836	3.574	
24	37.78	3.399	
25	37.82	3.572	
26	38.12	2.368	
27	37.436	4.315	
28	37.496	4.086	
29	37.664	3.659	
30	37.676	3.456	
31	37.724	3.255	
32	37.692	3.535	
33	37.644	3.723	
34	37.72	3.507	
35	37.524	4.072	
36	37.792	3.15	
37	37.692	3.641	
38	38.004	2.434	
39	37.824	3.303	
40	37.592	4.017	
41	37.656	3.888	
42	37.86	3.243	
43	37.932	2.964	
44	37.924	3.094	
45	37.824	3.725	
46	37.872	3.08	
47	37.972	3.1	
48	37.724	3.4	
49	37.608	3.772	
50	37.672	3.96	
51	37.82	3.375	
52	38.256	1.967	
53	37.916	3.341	
54	37.812	3.54	
55	37.496	4.445	
56	37.436	4.297	
57	37.644	3.757	
58	37.6	3.839	
59	36.988	5.206	
60	37.66	3.805	
61	37.696	3.65	
62	37.304	4.728	
63	37.188	4.942	
64	37.944	2.877	
65	37.68	3.779	
66	37.608	4.103	
67	37.268	4.791	
68	37.684	3.647	
69	37.428	4.23	
70	37.58	3.505	
71	37.764	3.377	
72	37.36	4.497	
73	37.104	4.983	
74	37.108	4.618	
75	37.092	4.331	
76	37.492	3.993	
77	37.2	4.906	
78	37.384	4.229	
79	37.476	3.875	
80	37.376	4.365	
81	37.428	4.385	
82	37.348	4.5	
83	37.444	4.308	
84	37.484	4.109	
85	37.34	4.653	
86	37.392	4.416	
87	37.248	4.544	
88	36.804	5.42	
89	36.592	6.083	
90	37.012	4.874	
91	37.22	4.44	
92	36.696	5.453	
93	36.952	5.362	
94	37.308	4.243	
95	36.912	5.023	
96	37.1	4.613	
97	36.924	5.129	
98	36.652	5.308	
99	37.092	4.489	
100	37.088	4.732	
101	36.488	6.013	
102	37.04	4.373	
103	37.32	4.154	
104	36.508	5.87	
105	37.148	4.615	
106	36.984	4.993	
107	36.768	5.438	
108	37.232	4.284	
109	36.652	5.578	
110	36.664	5.434	
111	37.148	4.533	
112	36.656	5.602	
113	36.104	6.515	
114	36.828	5.373	
115	36.856	5.25	
116	37.156	4.742	
117	36.572	5.607	
118	37.204	4.444	
119	36.54	5.847	
120	36.488	5.97	
121	36.796	5.709	
122	37.064	4.807	
123	36.456	6.034	
124	36.844	5.512	
125	37.216	4.595	
126	37.2	4.723	
127	37.496	4.232	
128	36.96	5.346	
129	36.804	5.204	
130	36.86	4.954	
131	36.904	5.169	
132	36.96	5.04	
133	36.888	4.858	
134	37.052	4.668	
135	37.012	4.704	
136	36.772	5.298	
137	36.796	5.224	
138	36.472	5.986	
139	36.396	5.833	
140	36.576	5.558	
141	36.824	4.743	
142	36.584	5.563	
143	36.636	5.66	
144	36.82	5.191	
145	36.736	5.095	
146	36.66	5.799	
147	36.46	6.073	
148	36.276	6.236	
149	36.068	6.452	
150	36.052	6.371	
151	34.668	6.979	
